Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","20111.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","21031.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","33034.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","32573.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","24799","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","28908.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","32895","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","53460","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","54368.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","52429.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","54351.8","X","Ciffre de sources internationales",""
