Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","1659","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","45.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","172.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","2293346.02","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","20.61","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","273894.5","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","9.98","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","132618.16","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","2361","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","182","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","2193","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","2193","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","48.19","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","181.84","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","3020636.9","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","21.77","E","Valeur estimée",""
